acc: 0.8876, iou: 0.44728885305381977
acc: 0.5496, iou: 0.1832
acc: 0.0806, iou: 0.029554011879593278
acc: 0.1754, iou: 0.058501767727303054
acc: 0.033, iou: 0.010871015072695745
acc: 0.7452, iou: 0.19025735294117646
acc: 0.219, iou: 0.06894524072032342
acc: 0.0, iou: 0.0
acc: 0.3264, iou: 0.1089089089089089
acc: 0.0584, iou: 0.014623397435897436
acc: 0.3994, iou: 0.11548693037242655
acc: 0.5192, iou: 0.18248277801209054
acc: 0.1768, iou: 0.027390939597315433
acc: 0.0, iou: 0.0
acc: 0.4014, iou: 0.10067215088282504
acc: 0.0234, iou: 0.00876798561151079
acc: 0.1956, iou: 0.0
acc: 0.1476, iou: 0.05347554781599187
acc: 0.211, iou: 0.07064416767108611
acc: 0.0206, iou: 0.0034347072162198215
acc: 0.0858, iou: 0.022517321016166283
acc: 0.1954, iou: 0.06513333333333333
acc: 0.0552, iou: 0.013897280966767372
acc: 0.0012, iou: 0.0
acc: 0.3046, iou: 0.15233046609321865
acc: 0.0838, iou: 0.020716009654062752
acc: 0.6934, iou: 0.23117956924718278
acc: 0.434, iou: 0.14466666666666667
acc: 0.5274, iou: 0.17579999999999998
acc: 0.9764, iou: 0.6372642135104124
acc: 0.17, iou: 0.028356018147851617
acc: 0.1792, iou: 0.02177474763490302
acc: 0.6754, iou: 0.3377
acc: 0.4622, iou: 0.11641144469071127
acc: 0.5466, iou: 0.20219064535227946
acc: 0.0744, iou: 0.0186
acc: 0.0048, iou: 0.0010711894666369114
acc: 0.0086, iou: 0.0014059048001606748
acc: 0.681, iou: 0.23144371941272432
acc: 0.4034, iou: 0.08068
acc: 0.0336, iou: 0.0069850620660635385
acc: 0.1268, iou: 0.0317
acc: 0.0578, iou: 0.01986254295532646
acc: 0.1738, iou: 0.05793333333333334
acc: 0.0062, iou: 0.0
acc: 0.4746, iou: 0.09685714285714285
acc: 0.4956, iou: 0.1250252270433905
acc: 0.7006, iou: 0.23353333333333334
acc: 0.208, iou: 0.024100887435777672
acc: 0.1084, iou: 0.02804802318360588
mean acc 0.282368, iou 0.0960337967424047
10.775620222091675
