acc: 0.0026, iou: 0.0014476614699331849
acc: 0.5496, iou: 0.1832
acc: 0.0792, iou: 0.01859591453392815
acc: 0.1754, iou: 0.058501767727303054
acc: 0.033, iou: 0.010871015072695745
acc: 0.0184, iou: 0.007553045175287247
acc: 0.0796, iou: 0.025721601489757915
acc: 0.4624, iou: 0.3756906077348066
acc: 0.5154, iou: 0.17378587737263473
acc: 0.0584, iou: 0.014623397435897436
acc: 0.0458, iou: 0.020337477797513322
acc: 0.0002, iou: 0.0
acc: 0.1004, iou: 0.010521140609636184
acc: 0.0, iou: 0.0
acc: 0.1636, iou: 0.04098196392785571
acc: 0.369, iou: 0.1438962805121009
acc: 0.1956, iou: 0.0
acc: 0.1476, iou: 0.05347554781599187
acc: 0.3724, iou: 0.12428247230009344
acc: 0.0882, iou: 0.014729458917835671
acc: 0.4772, iou: 0.11934773909563826
acc: 0.0374, iou: 0.012466666666666668
acc: 0.2024, iou: 0.06111111111111111
acc: 0.0012, iou: 0.0
acc: 0.0086, iou: 0.0
acc: 0.7286, iou: 0.0
acc: 0.6934, iou: 0.23117956924718278
acc: 0.434, iou: 0.14466666666666667
acc: 0.5274, iou: 0.17579999999999998
acc: 0.2792, iou: 0.09306666666666667
acc: 0.2114, iou: 0.049619651902616864
acc: 0.3486, iou: 0.0
acc: 0.09, iou: 0.045
acc: 0.4622, iou: 0.11641144469071127
acc: 0.6464, iou: 0.21546666666666667
acc: 0.325, iou: 0.08125
acc: 0.6622, iou: 0.15435897435897436
acc: 0.0086, iou: 0.0014059048001606748
acc: 0.2392, iou: 0.07973333333333334
acc: 0.4034, iou: 0.08068
acc: 0.0336, iou: 0.0069850620660635385
acc: 0.0376, iou: 0.0094
acc: 0.0952, iou: 0.0350489654664605
acc: 0.4562, iou: 0.0
acc: 0.0062, iou: 0.0
acc: 0.0572, iou: 0.011673469387755101
acc: 0.105, iou: 0.026472367890278337
acc: 0.7006, iou: 0.23353333333333334
acc: 0.2708, iou: 0.04955223880597015
acc: 0.0082, iou: 0.0
mean acc 0.240276, iou 0.06624890124099055
5.817493438720703
