acc: 0.993, iou: 0.49909456740442654
acc: 0.5592, iou: 0.1864
acc: 0.1682, iou: 0.0
acc: 0.0546, iou: 0.003440150801131008
acc: 0.307, iou: 0.07675
acc: 0.3734, iou: 0.12446666666666667
acc: 0.6226, iou: 0.0
acc: 0.3604, iou: 0.08346354166666665
acc: 0.4578, iou: 0.1528390113560454
acc: 0.2588, iou: 0.08412632740311682
acc: 0.8272, iou: 0.27623054832030985
acc: 0.309, iou: 0.100418410041841
acc: 0.6698, iou: 0.3348669733946789
acc: 0.0864, iou: 0.021625231148551468
acc: 0.8294, iou: 0.27565802897367886
acc: 0.0838, iou: 0.0
acc: 0.3234, iou: 0.1617
acc: 0.0258, iou: 0.0
acc: 0.0, iou: 0.0
acc: 0.505, iou: 0.1295137464095199
acc: 0.2716, iou: 0.0
acc: 0.2474, iou: 0.07218969555035129
acc: 0.903, iou: 0.47592905405405406
acc: 0.4266, iou: 0.22452631578947368
acc: 0.324, iou: 0.033647990255785624
acc: 0.2036, iou: 0.05719673161533626
acc: 0.0492, iou: 0.0082
acc: 0.9478, iou: 0.4739
acc: 0.0324, iou: 0.0162
acc: 0.2436, iou: 0.0
acc: 0.111, iou: 0.02775
acc: 0.6494, iou: 0.108820966552718
acc: 0.955, iou: 0.47759551910382075
acc: 0.3342, iou: 0.254415347137637
acc: 0.0098, iou: 0.0
acc: 0.039, iou: 0.013
acc: 0.5084, iou: 0.1743717895321394
acc: 0.0456, iou: 0.0
acc: 0.3014, iou: 0.0
acc: 0.4504, iou: 0.1200938566552901
acc: 0.656, iou: 0.328
acc: 0.033, iou: 0.007031749414020882
acc: 0.0118, iou: 0.0
acc: 0.3174, iou: 0.1058423369347739
acc: 0.9534, iou: 0.3236153584777438
acc: 0.6402, iou: 0.1965296578882599
acc: 0.0066, iou: 0.0
acc: 0.0004, iou: 0.0
acc: 0.4488, iou: 0.0898138883329998
acc: 0.0344, iou: 0.0
mean acc 0.35940400000000006, iou 0.12198526921762073
5.557379961013794
