acc: 0.993, iou: 0.49909456740442654
acc: 0.5592, iou: 0.1864
acc: 0.0796, iou: 0.014798114367698298
acc: 0.5566, iou: 0.11304157549234135
acc: 0.042, iou: 0.012025851809809774
acc: 0.233, iou: 0.07807264441763838
acc: 0.0614, iou: 0.013696128560993425
acc: 0.5358, iou: 0.19796557120500782
acc: 0.4578, iou: 0.1528390113560454
acc: 0.0248, iou: 0.0034006665306400056
acc: 0.1754, iou: 0.06969099354782586
acc: 0.6386, iou: 0.35522850969324415
acc: 0.4944, iou: 0.12414245359160614
acc: 0.8294, iou: 0.27565802897367886
acc: 0.2852, iou: 0.1426
acc: 0.3234, iou: 0.1617
acc: 0.0212, iou: 0.007180742554059567
acc: 0.0182, iou: 0.0091
acc: 0.1454, iou: 0.036657926583299714
acc: 0.0842, iou: 0.028066666666666667
acc: 0.1654, iou: 0.04987878787878788
acc: 0.9036, iou: 0.47624577702702703
acc: 0.4266, iou: 0.22452631578947368
acc: 0.0674, iou: 0.023228563551144197
acc: 0.126, iou: 0.04519368723098996
acc: 0.2174, iou: 0.061989528795811516
acc: 0.0492, iou: 0.0082
acc: 0.0436, iou: 0.021989106314303005
acc: 0.9676, iou: 0.4838
acc: 0.4528, iou: 0.11317263452690537
acc: 0.2358, iou: 0.05895
acc: 0.008, iou: 0.0013405724244252295
acc: 0.955, iou: 0.47759551910382075
acc: 0.3202, iou: 0.1604851643945469
acc: 0.233, iou: 0.11642328465693139
acc: 0.6088, iou: 0.20293333333333333
acc: 0.486, iou: 0.17339486571914342
acc: 0.0124, iou: 0.0
acc: 0.068, iou: 0.012038934426229508
acc: 0.4504, iou: 0.12024775736864587
acc: 0.656, iou: 0.328
acc: 0.033, iou: 0.0070182900893236925
acc: 0.0118, iou: 0.0
acc: 0.1182, iou: 0.03941576630652261
acc: 0.9534, iou: 0.3236153584777438
acc: 0.1134, iou: 0.03322259136212625
acc: 0.1414, iou: 0.04720886752136752
acc: 0.163, iou: 0.05433333333333334
acc: 0.0108, iou: 0.00216129677806684
acc: 0.342, iou: 0.171
mean acc 0.317976, iou 0.12637937578329972
3.5050604343414307
