category airplane, acc 0.181591796875, iou 0.03842766328015364, time 13.667148351669312
category bag, acc 0.71826171875, iou 0.6220623543820512, time 11.193391799926758
category cap, acc 0.3154296875, iou 0.05359897369714848, time 9.666546821594238
category car, acc 0.043359375, iou 0.015244007440936107, time 10.163803577423096
category chair, acc 0.144873046875, iou 0.05582707186648424, time 10.246366500854492
category earphone, acc 0.312548828125, iou 0.13769146542916771, time 8.587061405181885
category guitar, acc 0.654345703125, iou 0.3271381323077812, time 8.473081111907959
category knife, acc 0.486865234375, iou 0.0, time 10.042660236358643
category lamp, acc 0.10400390625, iou 0.00625, time 8.396440029144287
category laptop, acc 0.029443359375, iou 0.0, time 8.759348154067993
category motorbike, acc 0.051171875, iou 0.005600007510998928, time 8.821621894836426
category mug, acc 0.017578125, iou 5.154639175257732e-05, time 8.172022104263306
category pistol, acc 0.669970703125, iou 0.0, time 8.994168281555176
category rocket, acc 0.65595703125, iou 0.029215197242939084, time 8.94913363456726
category skateboard, acc 0.273193359375, iou 0.13854164420464427, time 8.758431434631348
category table, acc 0.14130859375, iou 0.10000351765275961, time 9.719152927398682
class mean acc 0.29999389648437497, class mean iou 0.09560322383792605, class mean time 9.538148641586304
