category airplane, acc 0.337255859375, iou 0.1284906428970931, time 12.237420797348022
category bag, acc 0.306298828125, iou 0.2900699528838411, time 8.30480408668518
category cap, acc 0.155859375, iou 0.1347969137980532, time 7.919820785522461
category car, acc 0.0001953125, iou 0.0, time 7.112390041351318
category chair, acc 0.181201171875, iou 0.06109508341527008, time 7.2486207485198975
category earphone, acc 0.25009765625, iou 0.0810726959227521, time 6.993060350418091
category guitar, acc 0.654345703125, iou 0.3271381323077812, time 7.115129232406616
category knife, acc 0.541845703125, iou 0.05498046875, time 7.723040342330933
category lamp, acc 0.109619140625, iou 0.01078503301540719, time 6.974494695663452
category laptop, acc 0.090380859375, iou 0.0, time 7.86102819442749
category motorbike, acc 0.2859375, iou 0.0521062398001502, time 7.6159844398498535
category mug, acc 0.102783203125, iou 0.08680935788949726, time 6.988761901855469
category pistol, acc 0.669970703125, iou 0.0, time 7.771556615829468
category rocket, acc 0.658056640625, iou 0.00012547051442910915, time 6.922918081283569
category skateboard, acc 0.028125, iou 0.0, time 7.846168279647827
category table, acc 0.129248046875, iou 0.0841773067495625, time 8.232603311538696
class mean acc 0.2813262939453125, class mean iou 0.08197795612148982, class mean time 7.8042376190423965
