category airplane, acc 0.178076171875, iou 0.037500979669217296, time 11.497100353240967
category bag, acc 0.718798828125, iou 0.6223123323707241, time 8.623212337493896
category cap, acc 0.346484375, iou 0.0869851459452858, time 8.293369770050049
category car, acc 0.04716796875, iou 0.01629135978876759, time 8.086755514144897
category chair, acc 0.144873046875, iou 0.05582707186648424, time 8.61492395401001
category earphone, acc 0.312548828125, iou 0.14203807978095637, time 7.706287145614624
category guitar, acc 0.654345703125, iou 0.3271381323077812, time 8.146928310394287
category knife, acc 0.486865234375, iou 0.0, time 7.6132659912109375
category lamp, acc 0.316455078125, iou 0.10089289861834931, time 7.649595737457275
category laptop, acc 0.029443359375, iou 0.0, time 7.36185097694397
category motorbike, acc 0.051171875, iou 0.005572356872625288, time 7.876587629318237
category mug, acc 0.017578125, iou 5.1519835136527566e-05, time 7.488896369934082
category pistol, acc 0.669970703125, iou 0.0, time 7.494703054428101
category rocket, acc 0.65595703125, iou 0.029215197242939084, time 7.458436965942383
category skateboard, acc 0.266259765625, iou 0.1359149615374248, time 7.691516160964966
category table, acc 0.14130859375, iou 0.10000351765275961, time 7.46447229385376
class mean acc 0.31483154296875, class mean iou 0.1037339720930282, class mean time 8.066743910312653category airplane, acc 0.178076171875, iou 0.037500979669217296, time 11.343876123428345
category bag, acc 0.718798828125, iou 0.6223123323707241, time 8.166788339614868
category cap, acc 0.346484375, iou 0.0869851459452858, time 6.868737459182739
category car, acc 0.04716796875, iou 0.01629135978876759, time 8.094730377197266
category chair, acc 0.144873046875, iou 0.05582707186648424, time 8.0416898727417
category earphone, acc 0.312548828125, iou 0.14203807978095637, time 7.494440317153931
category guitar, acc 0.654345703125, iou 0.3271381323077812, time 7.587994337081909
category knife, acc 0.486865234375, iou 0.0, time 7.790388107299805
category lamp, acc 0.316455078125, iou 0.10089289861834931, time 7.923512697219849
category laptop, acc 0.029443359375, iou 0.0, time 7.6558451652526855
category motorbike, acc 0.051171875, iou 0.005572356872625288, time 7.84171986579895
category mug, acc 0.017578125, iou 5.1519835136527566e-05, time 7.5531837940216064
category pistol, acc 0.669970703125, iou 0.0, time 8.108179807662964
category rocket, acc 0.65595703125, iou 0.029215197242939084, time 8.103357315063477
category skateboard, acc 0.266259765625, iou 0.1359149615374248, time 8.369008779525757
category table, acc 0.14130859375, iou 0.10000351765275961, time 8.304569482803345
class mean acc 0.31483154296875, class mean iou 0.1037339720930282, class mean time 8.078001365065575
