acc: 0.2654, iou: 0.0962930467207721
acc: 0.6246, iou: 0.15772727272727272
acc: 0.8478, iou: 0.43441278950604634
acc: 0.1692, iou: 0.0846
acc: 0.2924, iou: 0.16258896797153025
acc: 0.8068, iou: 0.4034806961392278
acc: 0.7696, iou: 0.1924
acc: 0.6084, iou: 0.1521
acc: 0.1424, iou: 0.035607121424284856
acc: 0.0448, iou: 0.012073170731707317
acc: 0.5936, iou: 0.2968
acc: 0.0002, iou: 0.0
acc: 0.0048, iou: 0.0
acc: 0.7188, iou: 0.23958124958325
acc: 0.5968, iou: 0.31781376518218624
acc: 0.5334, iou: 0.2667
acc: 0.282, iou: 0.14078447068240946
acc: 0.319, iou: 0.0
acc: 0.4102, iou: 0.2036180904522613
acc: 0.0248, iou: 0.0
acc: 0.2378, iou: 0.0
acc: 0.198, iou: 0.032946511938108575
acc: 0.8688, iou: 0.4343868773754751
acc: 0.0544, iou: 0.028991686207631637
acc: 0.3484, iou: 0.11639062915012877
acc: 0.0608, iou: 0.020266666666666665
acc: 0.0016, iou: 0.0
acc: 0.3074, iou: 0.10246666666666666
acc: 0.7748, iou: 0.3874
acc: 0.727, iou: 0.3664176090468498
acc: 0.2648, iou: 0.1358784893267652
acc: 0.6534, iou: 0.3316751269035533
mean acc 0.39225625, iou 0.1610437782625873
2.266785144805908
