acc: 0.2654, iou: 0.0962930467207721
acc: 0.2786, iou: 0.13742143631469322
acc: 0.8478, iou: 0.43441278950604634
acc: 0.1692, iou: 0.0846
acc: 0.001, iou: 0.0
acc: 0.7802, iou: 0.40694763196327977
acc: 0.7696, iou: 0.1924
acc: 0.6084, iou: 0.1521
acc: 0.4068, iou: 0.1018018018018018
acc: 0.0448, iou: 0.012073170731707317
acc: 0.4008, iou: 0.20072115384615385
acc: 0.0002, iou: 0.0
acc: 0.0048, iou: 0.0
acc: 0.1588, iou: 0.0539015769439913
acc: 0.2708, iou: 0.1457345971563981
acc: 0.463, iou: 0.2315
acc: 0.0828, iou: 0.0276
acc: 0.2562, iou: 0.0696922985451596
acc: 0.4102, iou: 0.2036180904522613
acc: 0.4698, iou: 0.2390488110137672
acc: 0.3506, iou: 0.05807573932824836
acc: 0.118, iou: 0.0196078431372549
acc: 0.8644, iou: 0.4321864372874575
acc: 0.0722, iou: 0.03901441403828989
acc: 0.3482, iou: 0.11625267094017094
acc: 0.0608, iou: 0.020266666666666665
acc: 0.2234, iou: 0.07637606837606838
acc: 0.075, iou: 0.024999999999999998
acc: 0.158, iou: 0.079
acc: 0.1338, iou: 0.07015873015873016
acc: 0.6658, iou: 0.34814892281949383
acc: 0.6534, iou: 0.3316751269035533
mean acc 0.32539999999999997, iou 0.13767590702037394
2.450272798538208
