category airplane, acc 0.2091796875, iou 0.04814525607771904, time 17.632784366607666
category bag, acc 0.81259765625, iou 0.8066764503591164, time 9.780768394470215
category cap, acc 0.6326171875, iou 0.0002336448598130841, time 8.312073945999146
category car, acc 0.00234375, iou 9.19963201471941e-05, time 8.965354204177856
category chair, acc 0.091845703125, iou 0.03242362125012992, time 9.049240112304688
category earphone, acc 0.2123046875, iou 0.11871483659009194, time 9.405698537826538
category guitar, acc 0.415185546875, iou 0.19179659215739991, time 9.470697164535522
category knife, acc 0.27255859375, iou 0.033544921875, time 8.879180192947388
category lamp, acc 0.430078125, iou 0.37574862793468783, time 8.366342782974243
category laptop, acc 0.073193359375, iou 0.0, time 8.532411575317383
category motorbike, acc 0.01171875, iou 0.0018101016714438104, time 9.489863872528076
category mug, acc 0.21572265625, iou 0.14779014450468497, time 9.546767234802246
category pistol, acc 0.177783203125, iou 0.017279279219086972, time 11.40404725074768
category rocket, acc 0.11494140625, iou 0.026152590966825186, time 8.721548795700073
category skateboard, acc 0.881005859375, iou 0.6318927596667057, time 9.37259316444397
category table, acc 0.13642578125, iou 0.08650615366965536, time 8.740869522094727
class mean acc 0.2930938720703125, class mean iou 0.1574254360701567, class mean time 9.729390069842339
