category airplane, acc 0.377099609375, iou 0.1413579366984499, time 14.709437608718872
category bag, acc 0.208251953125, iou 0.1895609735916855, time 9.200549840927124
category cap, acc 0.528369140625, iou 0.15526711030594037, time 8.493292808532715
category car, acc 0.0021484375, iou 0.0, time 9.974489212036133
category chair, acc 0.03544921875, iou 0.005407850394379357, time 8.847530841827393
category earphone, acc 0.117822265625, iou 0.0550805275598019, time 8.32337760925293
category guitar, acc 0.285107421875, iou 0.12627602257453568, time 8.244343996047974
category knife, acc 0.36318359375, iou 0.1295400506422925, time 7.815446853637695
category lamp, acc 0.244580078125, iou 0.07553284881660997, time 8.20506238937378
category laptop, acc 0.161279296875, iou 0.0, time 8.403246879577637
category motorbike, acc 0.133984375, iou 0.019469004845674154, time 8.73649287223816
category mug, acc 0.20810546875, iou 0.13940491259711416, time 7.92544150352478
category pistol, acc 0.276318359375, iou 0.015757433367344215, time 7.9490580558776855
category rocket, acc 0.2205078125, iou 0.042242615331700574, time 8.105595827102661
category skateboard, acc 0.051123046875, iou 0.0, time 8.222201585769653
category table, acc 0.3173828125, iou 0.012269937766163808, time 8.16166377067566
class mean acc 0.2206695556640625, class mean iou 0.06919795153073076, class mean time 8.832326978445053
