category airplane, acc 0.2091796875, iou 0.04814525607771904, time 11.786752462387085
category bag, acc 0.81259765625, iou 0.8066764503591164, time 8.452209949493408
category cap, acc 0.6326171875, iou 0.0002336448598130841, time 7.67663311958313
category car, acc 0.00234375, iou 9.19963201471941e-05, time 7.857800245285034
category chair, acc 0.091845703125, iou 0.03242362125012992, time 8.272457838058472
category earphone, acc 0.2123046875, iou 0.11871483659009194, time 7.841791391372681
category guitar, acc 0.415185546875, iou 0.19179659215739991, time 7.655087947845459
category knife, acc 0.27255859375, iou 0.033544921875, time 7.926222562789917
category lamp, acc 0.407177734375, iou 0.18583466910258664, time 8.088364362716675
category laptop, acc 0.073193359375, iou 0.0, time 7.978385925292969
category motorbike, acc 0.01171875, iou 0.0018101016714438104, time 8.752840995788574
category mug, acc 0.21572265625, iou 0.14779014450468497, time 8.268805503845215
category pistol, acc 0.177783203125, iou 0.017279279219086972, time 8.350491762161255
category rocket, acc 0.11494140625, iou 0.026152590966825186, time 8.493010997772217
category skateboard, acc 0.881005859375, iou 0.6318927596667057, time 7.61639404296875
category table, acc 0.13642578125, iou 0.08650615366965536, time 7.632371664047241
class mean acc 0.29166259765625, class mean iou 0.14555581364315037, class mean time 8.290601298213005
